Test [CP:01]
Care [CP:02]
Family Care [CP:03]
Test [CP:01]	Genetic [CP:11]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]
Care [CP:02]	Ongoing follow up with genetics [CP:21]
Care [CP:02]	Sub-specialist care [CP:22]
Care [CP:02]	Allied health care [CP:23]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]
Care [CP:02]	Electrical tests for the purpose of screening or surveillance [CP:25]
Care [CP:02]	Therapeutic option [CP:26]
Care [CP:02]	Inpatient visit [CP:27]
Care [CP:02]	Emergency department visit [CP:28]
Family Care [CP:03]	Genetic counselling for family members [CP:31]
Family Care [CP:03]	Cascade testing for family members [CP:32]
Family Care [CP:03]	Prenatal testing for subsequent pregnancy [CP:33]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	U/S [CP:2413]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	CT [CP:2419]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	X-Ray [CP:2425]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	Echo [CP:2431]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	Mammogram [CP:2432]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	Colonoscopy [CP:2433]
Care [CP:02]	Electrical tests for the purpose of screening or surveillance [CP:25]	EEG [CP:251]
Care [CP:02]	Electrical tests for the purpose of screening or surveillance [CP:25]	ECG [CP:252]
Care [CP:02]	Electrical tests for the purpose of screening or surveillance [CP:25]	24 hr holter [CP:253]
Care [CP:02]	Electrical tests for the purpose of screening or surveillance [CP:25]	EMG [CP:254]
Care [CP:02]	Electrical tests for the purpose of screening or surveillance [CP:25]	ERG [CP:255]
Care [CP:02]	Electrical tests for the purpose of screening or surveillance [CP:25]	VEP [CP:256]
Care [CP:02]	Therapeutic option [CP:26]	Approved drug available [CP:261]
Care [CP:02]	Therapeutic option [CP:26]	Approved drug unavailable [CP:264]
Care [CP:02]	Therapeutic option [CP:26]	Clinical trial available [CP:265]
Care [CP:02]	Therapeutic option [CP:26]	None [CP:268]
Care [CP:02]	Inpatient visit [CP:27]	1-2 days [CP:271]
Care [CP:02]	Inpatient visit [CP:27]	3-5 days [CP:272]
Care [CP:02]	Inpatient visit [CP:27]	6-10 days [CP:273]
Care [CP:02]	Inpatient visit [CP:27]	11-14 days [CP:274]
Care [CP:02]	Inpatient visit [CP:27]	>2 weeks [CP:275]
Care [CP:02]	Inpatient visit [CP:27]	>4 weeks [CP:276]
Test [CP:01]	Genetic [CP:11]	Cytogenetic [CP:111]	karyotype [CP:112]
Test [CP:01]	Genetic [CP:11]	Cytogenetic [CP:111]	microarray [CP:113]
Test [CP:01]	Genetic [CP:11]	Cytogenetic [CP:111]	FISH [CP:114]
Test [CP:01]	Genetic [CP:11]	Cytogenetic [CP:111]	custom FISH  (i.e. novel variant) [CP:115]
Test [CP:01]	Genetic [CP:11]	Cytogenetic [CP:111]	chromosome breakage [CP:116]
Test [CP:01]	Genetic [CP:11]	Cytogenetic [CP:111]	mosaicism testing [CP:117]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	known mutation [CP:119]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	single gene [CP:1110]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	gene panel/custom panel [CP:1111]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	clinical exome sequencing singleton [CP:1112]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	epigenetic testing (i.e. methylation study) [CP:1113]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	amino acids [CP:1115]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	organic acids [CP:1120]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	very long chain fatty acids [CP:1123]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	congenital disorders of glycosylation [CP:1125]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	acylcarnitines [CP:1127]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	total free carnitine [CP:1129]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	oligosaccharides [CP:1132]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	mucopolysaccharidosis [CP:1134]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	purines/pyrimidines [CP:1136]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	functional testing - single enzymes [CP:1138]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	functional testing - respiratory chain panel [CP:1148]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	homocysteine [CP:1158]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	creatine metabolites/creatine panel [CP:1160]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Biochemistry - General [CP:121]	blood gas [CP:122]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Biochemistry - General [CP:121]	glucose [CP:123]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Biochemistry - General [CP:121]	sodium [CP:124]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Biochemistry - General [CP:121]	potassium [CP:125]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Biochemistry - General [CP:121]	chloride [CP:126]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Biochemistry - General [CP:121]	total CO2 [CP:127]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Biochemistry - General [CP:121]	ammonia [CP:128]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Biochemistry - General [CP:121]	bilirubin conjugated [CP:129]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Biochemistry - General [CP:121]	bilirubin unconjugated [CP:1210]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Biochemistry - General [CP:121]	calcium [CP:1211]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Biochemistry - General [CP:121]	creatine [CP:1212]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Biochemistry - General [CP:121]	magnesium [CP:1213]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Biochemistry - General [CP:121]	phosphate [CP:1214]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Enzymes [CP:1215]	Alkaline Phosphatase [CP:1216]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Enzymes [CP:1215]	ALT [CP:1217]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Enzymes [CP:1215]	CPK [CP:1218]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Proteins [CP:1219]	albumin [CP:1220]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Proteins [CP:1219]	IgG [CP:1221]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Proteins [CP:1219]	IgA [CP:1222]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Proteins [CP:1219]	IgM [CP:1223]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Lipids [CP:1224]	cholesterol total [CP:1225]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Lipids [CP:1224]	HDL cholesterol [CP:1226]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Lipids [CP:1224]	LDL cholesterol [CP:1227]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Lipids [CP:1224]	triglyceride [CP:1228]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Hematology [CP:1229]	CBC [CP:1230]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Hematology [CP:1229]	Differential [CP:1231]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Hematology [CP:1229]	Retic Count [CP:1232]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Hematology [CP:1229]	Sickle test [CP:1233]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Hematology [CP:1229]	Hemaglobin analysis [CP:1234]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Hematology [CP:1229]	PTT [CP:1235]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Hematology [CP:1229]	Fibrinogen [CP:1236]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Hematology [CP:1229]	Factor V [CP:1237]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Hematology [CP:1229]	Factor VIII [CP:1238]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Hematology [CP:1229]	Factor IX [CP:1239]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Hematology [CP:1229]	Antithrombin [CP:1240]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Hematology [CP:1229]	thrombin time [CP:1241]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Hematology [CP:1229]	Protein C [CP:1242]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Hematology [CP:1229]	Protein S [CP:1243]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Hematology [CP:1229]	VWF Antigen [CP:1244]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Hematology [CP:1229]	VWF Activity [CP:1245]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Special Chemistry [CP:1246]	Alpha Fetoprotein [CP:1247]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Special Chemistry [CP:1246]	Ferritin [CP:1248]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Special Chemistry [CP:1246]	Iron [CP:1249]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Special Chemistry [CP:1246]	Transferrin [CP:1250]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Special Chemistry [CP:1246]	FSH [CP:1251]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Special Chemistry [CP:1246]	PTH [CP:1252]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Special Chemistry [CP:1246]	Thyroxine (Free T4) [CP:1253]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Special Chemistry [CP:1246]	Triiodothronine (T3) [CP:1254]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Special Chemistry [CP:1246]	Total [CP:1255]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Special Chemistry [CP:1246]	TSH [CP:1256]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Special Chemistry [CP:1246]	Folate [CP:1257]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Special Chemistry [CP:1246]	Vit B12 [CP:1258]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Special Chemistry [CP:1246]	Vit E [CP:1259]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Infectious disease [CP:1260]	TORCH [CP:1261]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Infectious disease [CP:1260]	rubella [CP:1262]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Infectious disease [CP:1260]	toxoplasmosis [CP:1263]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Pathology [CP:1264]	muscle biopsy [CP:1265]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Pathology [CP:1264]	skin biopsy [CP:1266]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Pathology [CP:1264]	autopsy [CP:1267]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	skeletal survey [CP:1269]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	bone age [CP:1270]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	bone density [CP:1271]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	MR imaging [CP:1272]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	MR spectroscopy [CP:1278]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	U/S [CP:1281]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	CT [CP:1287]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	X-Ray [CP:1293]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	echo [CP:1299]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	mammogram [CP:12100]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	colonoscopy [CP:12101]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Electrical activity [CP:12102]	EEG [CP:12103]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Electrical activity [CP:12102]	ECG [CP:12104]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Electrical activity [CP:12102]	24 hr holter [CP:12105]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Electrical activity [CP:12102]	EMG [CP:12106]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Electrical activity [CP:12102]	ERG [CP:12107]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Electrical activity [CP:12102]	VEP [CP:12108]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	MR imaging [CP:244]	head [CP:245]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	MR imaging [CP:244]	spine [CP:246]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	MR imaging [CP:244]	abdomen [CP:247]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	MR imaging [CP:244]	chest [CP:248]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	MR imaging [CP:244]	heart [CP:249]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	MR spectroscopy [CP:2410]	brain [CP:2411]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	MR spectroscopy [CP:2410]	liver [CP:2412]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	U/S [CP:2413]	head [CP:2414]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	U/S [CP:2413]	spine [CP:2415]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	U/S [CP:2413]	abdomen [CP:2416]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	U/S [CP:2413]	chest [CP:2417]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	U/S [CP:2413]	heart [CP:2418]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	CT [CP:2419]	head [CP:2420]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	CT [CP:2419]	spine [CP:2421]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	CT [CP:2419]	abdomen [CP:2422]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	CT [CP:2419]	chest [CP:2423]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	CT [CP:2419]	heart [CP:2424]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	X-Ray [CP:2425]	head [CP:2426]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	X-Ray [CP:2425]	spine [CP:2427]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	X-Ray [CP:2425]	abdomen [CP:2428]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	X-Ray [CP:2425]	chest [CP:2429]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	X-Ray [CP:2425]	heart [CP:2430]
Care [CP:02]	Therapeutic option [CP:26]	Approved drug available [CP:261]	prescribed [CP:262]
Care [CP:02]	Therapeutic option [CP:26]	Approved drug available [CP:261]	not prescribed [CP:263]
Care [CP:02]	Therapeutic option [CP:26]	Clinical trial available [CP:265]	accessible to patient [CP:266]
Care [CP:02]	Therapeutic option [CP:26]	Clinical trial available [CP:265]	not accessible [CP:267]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	amino acids [CP:1115]	blood [CP:1116]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	amino acids [CP:1115]	urine [CP:1117]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	amino acids [CP:1115]	CSF [CP:1118]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	amino acids [CP:1115]	dried blood spots [CP:1119]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	organic acids [CP:1120]	urine [CP:1121]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	organic acids [CP:1120]	dried blood spots [CP:1122]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	very long chain fatty acids [CP:1123]	blood [CP:1124]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	congenital disorders of glycosylation [CP:1125]	blood [CP:1126]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	acylcarnitines [CP:1127]	blood [CP:1128]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	total free carnitine [CP:1129]	blood [CP:1130]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	total free carnitine [CP:1129]	urine [CP:1131]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	oligosaccharides [CP:1132]	urine [CP:1133]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	mucopolysaccharidosis [CP:1134]	urine [CP:1135]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	purines/pyrimidines [CP:1136]	urine [CP:1137]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	functional testing - single enzymes [CP:1138]	serum [CP:1139]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	functional testing - single enzymes [CP:1138]	erythtrocytes [CP:1140]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	functional testing - single enzymes [CP:1138]	fibroblasts [CP:1141]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	functional testing - single enzymes [CP:1138]	leukocytes [CP:1142]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	functional testing - single enzymes [CP:1138]	dried blood spots [CP:1143]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	functional testing - single enzymes [CP:1138]	liver [CP:1144]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	functional testing - single enzymes [CP:1138]	heart [CP:1145]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	functional testing - single enzymes [CP:1138]	kidney [CP:1146]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	functional testing - single enzymes [CP:1138]	muscle [CP:1147]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	functional testing - respiratory chain panel [CP:1148]	serum [CP:1149]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	functional testing - respiratory chain panel [CP:1148]	erythtrocytes [CP:1150]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	functional testing - respiratory chain panel [CP:1148]	fibroblasts [CP:1151]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	functional testing - respiratory chain panel [CP:1148]	leukocytes [CP:1152]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	functional testing - respiratory chain panel [CP:1148]	dried blood spots [CP:1153]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	functional testing - respiratory chain panel [CP:1148]	liver [CP:1154]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	functional testing - respiratory chain panel [CP:1148]	heart [CP:1155]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	functional testing - respiratory chain panel [CP:1148]	kidney [CP:1156]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	functional testing - respiratory chain panel [CP:1148]	muscle [CP:1157]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	homocysteine [CP:1158]	blood [CP:1159]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	creatine metabolites/creatine panel [CP:1160]	urine [CP:1161]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	creatine metabolites/creatine panel [CP:1160]	blood [CP:1162]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]	creatine metabolites/creatine panel [CP:1160]	CSF [CP:1163]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	MR imaging [CP:1272]	head [CP:1273]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	MR imaging [CP:1272]	spine [CP:1274]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	MR imaging [CP:1272]	abdomen [CP:1275]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	MR imaging [CP:1272]	chest [CP:1276]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	MR imaging [CP:1272]	heart [CP:1277]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	MR spectroscopy [CP:1278]	brain [CP:1279]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	MR spectroscopy [CP:1278]	liver [CP:1280]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	U/S [CP:1281]	head [CP:1282]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	U/S [CP:1281]	spine [CP:1283]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	U/S [CP:1281]	abdomen [CP:1284]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	U/S [CP:1281]	chest [CP:1285]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	U/S [CP:1281]	heart [CP:1286]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	CT [CP:1287]	head [CP:1288]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	CT [CP:1287]	spine [CP:1289]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	CT [CP:1287]	abdomen [CP:1290]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]	CT [CP:1287]	chest [CP:1291]
